date,name,round,amount,chains,sector,category,categoryGroup,source,leadInvestors,otherInvestors,valuation,defillamaId
2025-12-08,Superform Labs,Public token sale,3.0,Ethereum,"Superform is the onchain wealth app. Superform earns you the best returns on your crypto to grow your onchain wealth. Use SuperVaults to automatically optimize your earnings, or build your customized portfolio by directly depositing into over 800 earning opportunities",DeFi,DeFi & CeFi,https://x.com/superformxyz/status/1998081984942289273,,,,
2025-12-08,Pye Finance,Seed,5.0,Solana,"Pye is a Solana-based protocol that turns stake accounts into tradable liquid assets through “liquid staking bonds” (LSBs). It lets validators issue stake positions with customizable yield terms and enables users to trade staked assets, bringing liquidity and DeFi composability to Solana’s native staking layer",DeFi,DeFi & CeFi,https://www.coindesk.com/business/2025/12/08/pye-finance-raises-usd5m-seed-round-led-by-variant-and-coinbase-ventures,"Variant, Coinbase Ventures","Solana Labs, Nascent, Gemini Frontier Fund",,
2025-12-08,Magma Finance,Strategic,6.0,Sui,Magma Finance is a cutting-edge AMM DEX designed for MOVE-based blockchains,DeFi,DeFi & CeFi,https://x.com/Magma_Finance/status/1998029859029913835,,"HashKey Capital, SevenX Ventures, SNZ Holding, Puzzle Ventures, Topspin Ventures",,5774
2025-12-08,AllScale,Seed,5.0,,"AllScale is a crypto-fiat-agnostic neobank for businesses, freelancers, DAOs, and Web3 teams, providing compliant stablecoin payments and cross-border services. It supports invoicing, payroll, social commerce payments, and treasury tools with instant, low-cost settlement.",Banking,DeFi & CeFi,https://x.com/allscaleio/status/1997963982515437994,"YZi Labs, Generative Ventures, Informed Ventures","Aptos Network, V3V Ventures, Astera Ventures, INP Capital",,
2025-12-08,Crown,Series A,13.5,,"Crown (BRL) is a regulated digital finance platform that issues BRLV, a stablecoin backed by Brazilian government bonds. It brings the Brazilian real on-chain with auditable, compliant infrastructure for payments, settlements, and tokenized asset operations",Stablecoin,,https://www.theblock.co/post/381596/crypto-vc-paradigm-bets-13-5-million-on-stablecoin-startup-crown-in-first-brazil-investment,,,90,
2025-12-06,Aztec Network,Public token sale,40.2,,"Aztec is a privacy-focused Ethereum Layer 2 that uses zero-knowledge rollups to enable encrypted smart contracts. It supports both public and private contract execution, allowing developers to build applications with private balances, transactions, and logic while inheriting Ethereum’s security",Privacy Infrastructure,,https://x.com/haydenzadams/status/1997358255442440584,,,480,
2025-12-05,Asgard Finance,Seed,2.2,Solana,"Asgard is an on-chain credit layer for Solana that introduces Credit Accounts, allowing users to borrow up to 10× against collateral within a controlled environment. Borrowed funds can be used for margin trading, leveraged staking or restaking, liquidity farming, stablecoin rate strategies, and airdrop positioning",DeFi,DeFi & CeFi,https://x.com/asgardfi/status/1997036202831368521,Robot Ventures,"Solana Ventures, Colosseum, Primal Capital, Presto Labs, mtndao, Dead King Ventures, Anatoly Yakovenko",,
2025-12-05,Gondor,Pre-Seed,2.5,,Building the DeFi layer for prediction markets,DeFi,DeFi & CeFi,https://x.com/gondorfi/status/1996988129085939855,,"Maven 11, Castle Island Ventures, Prelude",,
2025-12-05,Everlong,,,,Everlong is a synthetic liquidity protocol for BTC and ETH that deploys user deposits into AMMs to earn fee-based yield without requiring users to sell or short their assets. Depositors receive ERC-4626 vault tokens that accrue yield in the same asset while maintaining long-only exposure and DeFi composability,DeFi,DeFi & CeFi,https://x.com/foreverlong_io/status/1996938531244064809,GSR,,,
2025-12-05,DeepNode AI,Strategic,3.0,,"DeepNode AI is a decentralized AI inference network that turns idle GPUs into an on-demand compute layer. It uses blockchain-based validation and token rewards to let developers run AI models at scale, while GPU providers earn by supplying compute",DePIN,Web3 Infrastructure & Tools,https://www.dlnews.com/external/deepnode-secures-5-million-across-seed-strategic-rounds-to-build-open-intelligence-network/,,"Blockchain Builders Fund, Side Door Ventures, TBVentures, IOBC Capital, FOMO Ventures, Nestoris",75,
2025-12-05,LayerBank,Pre-Seed,2.3,Linea,A universal permissionless on-chain bank designed to thrive across the omni-chain ecosystem,DeFi,DeFi & CeFi,https://x.com/LayerBankFi/status/1996921531084296692,,"Coinbureau, DV Chain, Future Trends Capital, Taiko, Rootstock",,3250
2025-12-04,TrueNorth,Pre-Seed,3.0,,"TrueNorth is a Web3 AI-powered “discovery engine” that ingests real-time on-chain and off-chain data to generate algorithmic trading/investment signals and automated execution via AI agents, aiming to democratize professional-grade trading strategies for retail crypto users",AI,"AI, Analytics & Data",https://x.com/get_truenorth/status/1996581802698232280,,"Cyber Fund , GSR, Delphi Digital, SNZ Holding, Ocular VC",,
2025-12-04,Portal,,25.0,Bitcoin,Portal is a Bitcoin-based non-custodial DEX and wallet that enables Layer-2 atomic swaps across blockchains. It supports trust-minimized cross-chain trading without wrapped tokens or intermediaries,DeFi,DeFi & CeFi,https://cointelegraph.com/news/portal-to-bitcoin-25m-funding-atomic-otc-desk,JTSA Global,,,7045
